Institution_fullName,Institution_withOut_abb,Institution_Abbreviation,country
Beijing Institute of Petrochemical Technology,Beijing Institute of Petrochemical Technology,BIPT,China
Belgian Institute for Space Aeronomy (BIRA-IASB),Belgian Institute for Space Aeronomy (BIRA-IASB),BIRA-IASB,Belgium
Bristol Industrial and Research Associates Limited,Bristol Industrial and Research Associates Limited,BIRAL,United Kingdom (UK)
Barcelona Institute of Science and Technology,Barcelona Institute of Science and Technology,BIST,Spain
Beijing Information Science and Technology University,Beijing Information Science and Technology University,BISTU,China
Beijing Institute of Technology,Beijing Institute of Technology,BIT,China
"Birla Institute of Technology, Mesra (BIT Mesra)","Birla Institute of Technology, Mesra (BIT Mesra)",BIT Mesra,India
Botswana Institute of Technology Research and Innovation,Botswana Institute of Technology Research and Innovation,BITRI,Botswana
Birla Institute of Technology and Science (BITS Pilani),Birla Institute of Technology and Science (BITS Pilani),BITS Pilani,India
Beijing Institute of Tracking and Telecommunications Technology,Beijing Institute of Tracking and Telecommunications Technology,BITTT,China
Bar-Ilan University,Bar-Ilan University,BIU,Israel
Botswana International University of Science and Technology,Botswana International University of Science and Technology,BIUST,Botswana
Beijing Academy of Science and Technology,Beijing Academy of Science and Technology,BJAST,China
Beijing Jiaotong University,Beijing Jiaotong University,BJTU,China
Beijing University of Technology,Beijing University of Technology,BJUT,China
Günzburg District Hospital (BKH Günzburg),Günzburg District Hospital (BKH Günzburg),BKH Günzburg,Germany
Bezirkskrankenhaus Schwaz (BKH Schwaz),Bezirkskrankenhaus Schwaz,BKH Schwaz,Austria
Barcelona Medical Agency,Barcelona Medical Agency,BMA,Spain
German Federal Ministry of Education and Research,German Federal Ministry of Education and Research,BMBF,Germany
"Austria Federal Ministry of Education, Science and Research","Austria Federal Ministry of Education, Science and Research",BMBWF,Austria
Bayreuth Medical Center,Bayreuth Medical Center,BMC,Germany
Tufts Baystate Medical Center,Tufts Baystate Medical Center,BMC,United States of America (USA)
Blacktown and Mount Druitt Hospital,Blacktown and Mount Druitt Hospital,BMDH,Australia
Budapest University of Technology and Economics,Budapest University of Technology and Economics,BME,Hungary
Federal Ministry of Food and Agriculture,Federal Ministry of Food and Agriculture,BMEL,Germany
Germany Federal Ministry of Health,Germany Federal Ministry of Health,BMG,Germany
"Buffalo Medical Group, P.C.","Buffalo Medical Group, P.C.",BMG,United States of America (USA)
Austria Federal Ministry of Health and Women's Affairs,Austria Federal Ministry of Health and Women's Affairs,BMGF,Austria
Bill and Melinda Gates Foundation,Bill and Melinda Gates Foundation,BMGF,United States of America (USA)
"Federal Ministry of the Interior, Building and Community","Federal Ministry of the Interior, Building and Community",BMI,Germany
Beijing Municipal Research Institute of Environmental Protection,Beijing Municipal Research Institute of Environmental Protection,BMIEP,China
"Indonesian Agency for Meteorology, Climatology and Geophysics","Indonesian Agency for Meteorology, Climatology and Geophysics",BMKG,Indonesia
"Austria Federal Ministry of Agriculture, Forestry, Environment and Water Management","Austria Federal Ministry of Agriculture, Forestry, Environment and Water Management",BMLFUW,Austria
Bristol-Myers Squibb,Bristol-Myers Squibb,BMS,United States of America (USA)
The Bristol-Myers Squibb Children's Hospital,The Bristol-Myers Squibb Children's Hospital,BMSCH,United States of America (USA)
Blue Marble Space Institute of Science,Blue Marble Space Institute of Science,BMSIS,United States of America (USA)
Bauman Moscow State Technical University,Bauman Moscow State Technical University,BMSTU,Russia
Baqiyatallah University of Medical Sciences,Baqiyatallah University of Medical Sciences,BMSU,Iran
Federal Ministry of Transport and Digital Infrastructure,Federal Ministry of Transport and Digital Infrastructure,BMVI,Germany
Beijing Nuclear Industry Hospital,Beijing Nuclear Industry Hospital,BNIH,China
National Library of Luxembourg,National Library of Luxembourg,BnL,Luxembourg
Brookhaven National Laboratory,Brookhaven National Laboratory,BNL,United States of America (USA)
Belarusian National Technical University,Belarusian National Technical University,BNTU,Belarus
Beijing Normal University,Beijing Normal University,BNU,China
C. H. Boehringer Sohn AG & Co. KG (Boehringer Ingelheim),C. H. Boehringer Sohn AG & Co. KG (Boehringer Ingelheim),Boehringer Ingelheim,Germany
"University of Natural Resources and Life Sciences, Vienna","University of Natural Resources and Life Sciences, Vienna",BOKU,Austria
Bureau of Meteorology,Bureau of Meteorology,BOM,Australia
Université Bordeaux Montaigne (Bordeaux 3),Université Bordeaux Montaigne (Bordeaux 3),Bordeaux 3,France
Institut Polytechnique de Bordeaux (Bordeaux INP),Institut Polytechnique de Bordeaux (Bordeaux INP),Bordeaux INP,France
National School of Agricultural Engineering of Bordeaux (Bordeaux Sciences Agro),National School of Agricultural Engineering of Bordeaux (Bordeaux Sciences Agro),Bordeaux Sciences Agro,France
Borneo Orangutan Survival Foundation,Borneo Orangutan Survival Foundation,BOSF,Indonesia
Bio-Optimized Technologies to Keep Thermoplastics out of Landfills and the Environment Consortium (BOTTLE™),Bio-Optimized Technologies to Keep Thermoplastics out of Landfills and the Environment Consortium (BOTTLE™),BOTTLE™,United States of America (USA)
"Beijing OriginWater Technology Co., Ltd.","Beijing OriginWater Technology Co., Ltd.",BOW,China
Beijing Pharma and Biotech Center,Beijing Pharma and Biotech Center,BPBC,China
Beipiao Pterosaur Museum of China,Beipiao Pterosaur Museum of China,BPMC,China
Agency for the Assessment and Application of Technology,Agency for the Assessment and Application of Technology,BPPT,Indonesia
Biomedical Primate Research Centre,Biomedical Primate Research Centre,BPRC,Netherlands
Brazilian Institute of Neuroscience and Neurotechnology,Brazilian Institute of Neuroscience and Neurotechnology,BRAINN,Brazil
Berkeley Research Group,Berkeley Research Group,BRG,United States of America (USA)
Bureau de Recherches Geologiques et Minieres,Bureau de Recherches Geologiques et Minieres,BRGM,France
Building Research Institute,Building Research Institute,BRI,Japan
Benaroya Research Institute at Virginia Mason,Benaroya Research Institute at Virginia Mason,BRI,United States of America (USA)
Brazilian Research in Intensive Care Network,Brazilian Research in Intensive Care Network,BRICNet,Brazil
National Research and Innovation Agency,National Research and Innovation Agency,BRIN,Indonesia
Biomedical Research Institute,Biomedical Research Institute,BRIS,Slovenia
Basque Research and Technology Alliance,Basque Research and Technology Alliance,BRTA,Spain
Barcelona Supercomputing Center,Barcelona Supercomputing Center,BSC,Spain
Brazilian Science Data Center,Brazilian Science Data Center,BSDC,Brazil
Birbal Sahni Institute of Palaeobotany,Birbal Sahni Institute of Palaeobotany,BSIP,India
Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangabandhu Sheikh Mujibur Rahman Agricultural University,BSMRAU,Bangladesh
Belarusian State Medical University,Belarusian State Medical University,BSMU,Belarus
Bashkir State Pedagogical University,Bashkir State Pedagogical University,BSPU,Russia
Biomedical Sciences Research Centre Alexander Fleming (BSRC Fleming),Biomedical Sciences Research Centre Alexander Fleming (BSRC Fleming),BSRC Fleming,Greece
Blood Systems Research Institute,Blood Systems Research Institute,BSRI,United States of America (USA)
Bansomdejchaopraya Rajabhat University,Bansomdejchaopraya Rajabhat University,BSRU,Thailand
Belarusian State University,Belarusian State University,BSU,Belarus
Beni-Suef University,Beni-Suef University,BSU,Egypt
Buryat State University,Buryat State University,BSU,Russia
Ball State University,Ball State University,BSU,United States of America (USA)
Belarusian State University of Informatics and Radioelectronics,Belarusian State University of Informatics and Radioelectronics,BSUIR,Belarus
Beijing Technology and Business University,Beijing Technology and Business University,BTBU,China
British Trust for Ornithology,British Trust for Ornithology,BTO,United Kingdom (UK)
Biotechnology Research Centre,Biotechnology Research Centre,BTRC,Libya
Baotou Teachers College,Baotou Teachers College,BTTC,China
Brandenburg University of Technology Cottbus - Senftenberg,Brandenburg University of Technology Cottbus - Senftenberg,BTU,Germany
University of Barisal,University of Barisal,BU,Bangladesh
Brandon University,Brandon University,BU,Canada
Bohai University,Bohai University,BU,China
Boğaziçi University,Boğaziçi University,BU,Turkey
Bournemouth University,Bournemouth University,BU,United Kingdom (UK)
Boston University,Boston University,BU,United States of America (USA)
Beijing University of Agriculture,Beijing University of Agriculture,BUA,China
Beihang University,Beihang University,BUAA,China
Benemérita Universidad Autónoma de Puebla,Benemérita Universidad Autónoma de Puebla,BUAP,Mexico
Baoji University of Arts and Sciences,Baoji University of Arts and Sciences,BUAS,China
Bern University of Applied Sciences,Bern University of Applied Sciences,BUAS,Switzerland
Badr University in Cairo,Badr University in Cairo,BUC,Egypt
Beijing University of Civil Engineering and Architecture,Beijing University of Civil Engineering and Architecture,BUCEA,China
Beijing University of Chinese Medicine,Beijing University of Chinese Medicine,BUCM,China
Beijing University of Chemical Technology,Beijing University of Chemical Technology,BUCT,China
British University in Egypt,British University in Egypt,BUE,Egypt
Bangladesh University of Engineering and Technology,Bangladesh University of Engineering and Technology,BUET,Bangladesh
Bangladesh University of Health Sciences,Bangladesh University of Health Sciences,BUHS,Bangladesh
Birjand University of Medical Sciences,Birjand University of Medical Sciences,BUMS,Iran
Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,BUPT,China
Brno University of Technology,Brno University of Technology,BUT,Czech Republic
Beijing Union University,Beijing Union University,BUU,China
Berliner Wasserbetriebe,Berliner Wasserbetriebe,BWB,Germany
Hamburg State Ministry for Science and Research,Hamburg State Ministry for Science and Research,BWFG,Germany
Beijing Water Science and Technology Institute,Beijing Water Science and Technology Institute,BWSTI,China
Brigham Young University,Brigham Young University,BYU,United States of America (USA)
Binzhou University,Binzhou University,BZU,China
Camden and Islington NHS Foundation Trust (C&I),Camden and Islington NHS Foundation Trust (C&I),C&I,United Kingdom (UK)
Canadian Center for Computational Genomics,Canadian Center for Computational Genomics,C3G,Canada
Civil Aviation Administration of China,Civil Aviation Administration of China,CAAC,China
Chinese Academy of Agricultural Sciences,Chinese Academy of Agricultural Sciences,CAAS,China
"China Automotive Battery Research Institute Co., Ltd","China Automotive Battery Research Institute Co., Ltd",CABRI,China
China Academy of Chinese Medical Sciences,China Academy of Chinese Medical Sciences,CACMS,China
Centro Andaluz de Estudios Bioinformaticos,Centro Andaluz de Estudios Bioinformaticos,CAEBi,Spain
China Academy of Engineering Physics,China Academy of Engineering Physics,CAEP,China
Chinese Academy for Environmental Planning,Chinese Academy for Environmental Planning,CAEP,China
Connecticut Agricultural Experiment Station,Connecticut Agricultural Experiment Station,CAES,United States of America (USA)
Center of Advanced European Studies and Research,Center of Advanced European Studies and Research,CAESAR,Germany
Chinese Academy of Forestry,Chinese Academy of Forestry,CAF,China
Center for Assistance to Families,Center for Assistance to Families,CAF,United States of America (USA)
Chinese Academy of Fishery Sciences,Chinese Academy of Fishery Sciences,CAFS,China
Civil Aviation Flight University of China,Civil Aviation Flight University of China,CAFUC,China
Chinese Academy of Geological Sciences,Chinese Academy of Geological Sciences,CAGS,China
Chinese Academy of Inspection and Quarantine,Chinese Academy of Inspection and Quarantine,CAIQ,China
Centre Antoine-Lacassagne,Centre Antoine-Lacassagne,CAL,France
California Polytechnic State University (Cal Poly),California Polytechnic State University (Cal Poly),Cal Poly,United States of America (USA)
